timestamp,AIN0,AIN1,AIN2
2025-07-15 14:17:27,7.9155964851379395,7.8606767654418945,7.904928684234619
2025-07-15 14:17:28,7.9148850440979,7.863363742828369,7.8936285972595215
2025-07-15 14:17:29,7.932981014251709,7.883987903594971,7.915517330169678
2025-07-15 14:17:30,7.938038349151611,7.890625953674316,7.901214599609375
2025-07-15 14:17:31,7.928318977355957,7.894734859466553,7.901451587677002
2025-07-15 14:17:32,7.942858695983887,7.9024786949157715,7.900029182434082
2025-07-15 14:17:33,7.940408706665039,7.89252233505249,7.894181728363037
2025-07-15 14:17:34,7.924367904663086,7.904928684234619,7.894892692565918
2025-07-15 14:17:35,7.911013126373291,7.9144110679626465,7.904059410095215
2025-07-15 14:17:36,7.937485218048096,7.944201946258545,7.944201946258545
